914,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
914,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
913,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
913,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
515,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
515,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
919,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
919,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
1009,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
1009,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
1008,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
1008,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
687,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
687,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
912,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
912,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
758,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
758,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
915,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
915,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
686,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
686,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
756,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
756,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
755,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
755,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
1007,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
1007,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
980,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
980,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
622,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
622,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
754,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
754,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
753,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
753,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
684,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
684,2017,2017_2,N/V,01/11/2017  1:42PM,2,,
492,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
492,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
716,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
716,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
751,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
751,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
981,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
981,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
750,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
750,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
779,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
779,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
789,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
789,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
972,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
972,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
1005,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
1005,2017,2017_2,N/V,01/11/2017  1:42PM,2,,
1004,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
1004,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
747,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
747,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
720,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
720,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
483,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
483,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
477,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
477,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
746,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
746,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
680,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
680,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
475,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
475,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
787,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
787,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
778,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
778,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
678,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
678,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
973,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
973,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
595,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
595,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
744,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
744,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
784,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
784,2017,2017_2,Aye,01/11/2017  1:42PM,2,,
467,2017,2017_1,Aye,01/11/2017 12:47PM,1,R2,
